ALBUM_NAME,RELEASE_DATE,COUNT_OF_SONG
Short n' Sweet,2024-08-23,4
INCÓMODO,2024-08-22,3
HIT ME HARD AND SOFT,2024-05-17,2
EL COMIENZO,2024-08-09,2
Heavy Is the Crown,2024-09-24,1
MUSE,2024-07-19,1
Strange Trails,2015-04-06,1
Embrace It,2024-08-23,1
"Where I've Been, Isn't Where I'm Going",2024-05-31,1
Si Antes Te Hubiera Conocido,2024-06-21,1
Moonlit Floor,2024-10-03,1
F-1 Trillion,2024-08-15,1
MJ,2024-09-12,1
I Love You.,2013-04-22,1
Diet Pepsi,2024-08-09,1
"Good Luck, Babe!",2024-04-05,1
Stargazing,2024-05-10,1
Lover,2019-08-23,1
eternal sunshine,2024-03-08,1
Brat and it’s completely different but also still brat,2024-10-11,1
FERXXOCALIPSIS,2023-12-01,1
Timeless,2024-09-27,1
Fireworks & Rollerblades,2024-04-05,1
I've Tried Everything But Therapy (Part 1),2023-09-15,1
Die With A Smile,2024-08-16,1
yustyna,2024-07-11,1
The Rise and Fall of a Midwest Princess,2023-09-22,1
The Secret of Us,2024-06-21,1
Not Like Us,2024-05-04,1
City of Angels (Music from the Motion Picture),1998-03-31,1
DECIDE,2022-09-16,1
UTOPIA,2023-07-28,1
AM,2013-09-09,1
The Emptiness Machine,2024-09-05,1
MILLION DOLLAR BABY,2024-04-26,1
GOLDEN,2023-11-03,1
The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,1
Sailor Song,2024-07-26,1
Flower Boy,2017-07-21,1
Unreal Unearth: Unaired,2024-08-19,1
PRIMERA MUSA,2024-09-20,1
ÉXODO,2024-06-20,1
THE FIRST TIME,2023-11-10,1
