NAME,RELEASE_DATE,TOTAL_TRACKS,SONG_AVG_POPULARITY
Die With A Smile,2024-08-16,1,100.000000
Si Antes Te Hubiera Conocido,2024-06-21,1,95.000000
"Good Luck, Babe!",2024-04-05,1,95.000000
HIT ME HARD AND SOFT,2024-05-17,10,94.500000
MUSE,2024-07-19,7,93.000000
The Emptiness Machine,2024-09-05,1,92.000000
Timeless,2024-09-27,1,91.000000
Short n' Sweet,2024-08-23,12,90.250000
The Rise and Fall of a Midwest Princess,2023-09-22,14,90.000000
The Secret of Us,2024-06-21,13,90.000000
Not Like Us,2024-05-04,1,90.000000
Lover,2019-08-23,18,90.000000
Fireworks & Rollerblades,2024-04-05,15,90.000000
Stargazing,2024-05-10,1,90.000000
The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,3,90.000000
I Love You.,2013-04-22,11,90.000000
MILLION DOLLAR BABY,2024-04-26,2,90.000000
AM,2013-09-09,12,90.000000
DECIDE,2022-09-16,13,90.000000
I've Tried Everything But Therapy (Part 1),2023-09-15,10,89.000000
Flower Boy,2017-07-21,14,89.000000
FERXXOCALIPSIS,2023-12-01,10,89.000000
UTOPIA,2023-07-28,19,89.000000
Strange Trails,2015-04-06,14,88.000000
Heavy Is the Crown,2024-09-24,2,88.000000
Embrace It,2024-08-23,1,88.000000
Sailor Song,2024-07-26,1,88.000000
THE FIRST TIME,2023-11-10,20,88.000000
MJ,2024-09-12,2,87.000000
Diet Pepsi,2024-08-09,1,87.000000
ÉXODO,2024-06-20,24,87.000000
PRIMERA MUSA,2024-09-20,17,87.000000
eternal sunshine,2024-03-08,13,87.000000
INCÓMODO,2024-08-22,21,87.000000
"Where I've Been, Isn't Where I'm Going",2024-05-31,12,86.000000
Moonlit Floor,2024-10-03,1,86.000000
F-1 Trillion,2024-08-15,18,85.000000
GOLDEN,2023-11-03,11,85.000000
Unreal Unearth: Unaired,2024-08-19,23,83.000000
yustyna,2024-07-11,14,82.000000
EL COMIENZO,2024-08-09,7,81.500000
Brat and it’s completely different but also still brat,2024-10-11,34,70.000000
City of Angels (Music from the Motion Picture),1998-03-31,14,53.000000
