NAME,FOLLOWERS,POPULARITY
Taylor Swift,123685307,100
Billie Eilish,100773652,96
The Weeknd,92707701,96
Sabrina Carpenter,13680386,95
Bruno Mars,60282458,94
Travis Scott,33659256,94
Peso Pluma,16655283,93
Lady Gaga,32080833,92
Post Malone,45559095,92
Linkin Park,27148008,92
Feid,14222541,92
KAROL G,51130242,92
Ariana Grande,100404987,92
Kendrick Lamar,33488901,92
Morgan Wallen,10860207,91
Playboi Carti,11950742,90
Chappell Roan,3507874,90
Tito Double P,1794087,89
Charli xcx,4266529,89
Jimin,9599464,89
Cris Mj,3937595,88
Arctic Monkeys,26899509,87
Hozier,7935738,87
"Tyler, The Creator",16534603,87
Jung Kook,16171404,87
Teddy Swims,3174653,86
Benson Boone,3731895,86
Gracie Abrams,2691169,86
The Neighbourhood,18165663,86
The Kid LAROI,5746077,85
Kali Uchis,7953986,85
FloyyMenor,989744,85
LISA,9195260,83
Neton Vega,354378,82
Omar Courtz,347233,81
Chino Pacas,2608747,81
JENNIE,7441696,81
Shaboozey,720404,81
Artemas,957466,80
Latto,1789534,80
Tommy Richman,732289,80
Myles Smith,748433,79
De La Rose,207468,79
Lord Huron,1732691,78
Lily-Rose Depp,187512,77
Gigi Perez,325611,77
The Goo Goo Dolls,2936065,76
Djo,1568158,76
ATL Jacob,46481,75
Addison Rae,397659,74
Ndotz,92335,74
LOUKI,11588,73
